STRAIN	AATT01000295.1	AATT01000296.1	AATT01000297.1	AATT01000298.1	AATT01000299.1	AATT01000300.1	AATT01000301.1	AATT01000302.1	AATT01000303.1	AATT01000306.1	AATT01000307.1	AATT01000308.1	AATT01000309.1	AATT01000310.1	AATT01000314.1	AATT01000315.1	AATT01000316.1	AATT01000317.1	AATT01000318.1	AATT01000319.1	AATT01000320.1	AATT01000321.1	AATT01000322.1	AATT01000323.1	AATT01000324.1	AATT01000325.1	AATT01000326.1	AATT01000327.1	AATT01000328.1	AATT01000329.1	AATT01000330.1	AATT01000331.1	AATT01000332.1	AATT01000333.1	AATT01000334.1	AATT01000335.1	AATT01000338.1	AATT01000339.1	AATT01000340.1	AATT01000341.1	AATT01000342.1	AATT01000343.1	AATT01000344.1	AATT01000345.1	AATT01000346.1	AATT01000347.1	AATT01000348.1	DS022300.1	DS022301.1	DS022302.1	DS022303.1	DS022304.1	DS022305.1	DS022306.1	DS022307.1	DS022308.1	DS022309.1	DS022310.1	DS022311.1	DS022312.1	DS022313.1	DS022314.1	DS022315.1	DS022316.1	DS022317.1	DS022318.1	DS022319.1	DS022320.1	DS022321.1	DS022322.1	TF5a1_Bdvirus
CLFT129	39.00	17.57	24.46	59.58	24.70	16.05	21.29	52.72	17.12	18.60	19.87	46.19	19.15	77.64	33.34	11.84	26.38	42.46	27.89	2409.42	20.19	17.89	24.78	12.64	22.97	49.94	27.98	104.95	27.16	127.23	20.15	304.02	98.96	10.82	28.07	60.41	34.75	20.95	15.53	44.69	12.66	53.65	240.10	34.78	13.36	381.20	230.79	25.69	40.89	34.22	24.45	23.97	26.90	23.52	32.99	24.42	22.12	21.51	22.24	25.82	60.31	24.59	22.16	27.35	33.24	23.73	16.15	75.27	730.39	1356.35	0.00
CLFT130	64.44	15.95	23.43	59.57	33.61	24.36	25.53	55.99	22.80	66.35	33.52	65.73	12.03	152.10	39.92	21.77	24.47	57.39	21.80	2645.96	20.59	24.50	18.26	18.20	15.62	56.13	32.41	108.47	28.70	136.51	14.51	234.40	144.33	9.85	42.10	85.00	42.09	25.27	14.58	57.82	31.70	133.95	193.73	60.81	13.60	355.54	137.71	25.43	46.96	39.49	23.19	23.33	31.59	24.70	35.65	23.59	22.46	24.44	25.31	30.03	62.43	25.79	25.66	39.92	40.32	46.58	21.91	49.23	1802.37	1214.19	0.12
CLFT131	47.28	35.57	33.88	110.79	42.95	40.55	51.95	86.64	59.11	30.02	30.16	77.74	34.37	45.03	50.53	23.80	46.79	75.46	24.06	1612.24	38.89	44.43	26.41	30.49	39.23	81.19	50.48	114.78	39.40	167.31	42.89	287.63	185.01	15.64	44.29	88.91	54.06	12.07	28.43	43.67	23.10	44.25	358.47	59.60	28.04	481.98	215.17	44.26	56.95	62.01	43.07	43.30	44.20	43.34	43.29	42.22	42.47	40.88	39.68	51.96	94.61	42.64	33.70	40.09	55.43	21.65	32.64	87.06	568.68	1459.24	0.00
CLFT132	57.45	21.59	32.01	89.90	55.91	22.17	36.38	82.82	27.67	51.63	43.51	79.94	19.42	144.24	57.20	21.36	29.16	77.77	9.83	5141.89	20.35	22.59	30.57	22.59	24.77	87.57	37.75	173.67	36.47	215.58	19.97	461.48	211.63	13.08	45.83	109.60	54.22	34.22	24.06	50.17	25.74	85.86	224.16	64.89	20.23	699.17	247.79	28.67	50.75	40.97	27.36	33.07	32.92	28.76	31.77	25.53	27.72	25.73	28.02	33.34	94.13	31.06	25.05	44.46	61.07	31.42	33.20	115.47	1632.99	1842.73	0.00
CLFT133	63.20	40.74	41.70	166.10	44.24	53.81	52.48	137.14	63.80	41.42	58.38	125.06	33.57	93.40	39.84	33.83	48.59	110.84	23.31	3157.03	45.01	59.84	35.48	39.69	36.10	128.49	56.34	247.16	50.98	416.09	41.07	818.20	410.57	23.14	52.26	192.39	78.68	29.92	45.85	42.24	34.44	46.66	467.00	70.24	65.11	1404.23	578.72	49.62	56.24	72.13	48.46	47.79	50.57	49.10	52.04	47.49	47.88	47.65	46.65	52.50	164.28	47.93	41.30	48.50	78.46	29.19	38.28	201.57	653.31	2982.50	0.00
CLFT136	69.31	44.17	52.11	106.31	86.14	61.26	51.87	159.40	47.78	50.10	40.49	95.35	24.99	53.65	72.01	47.65	46.07	121.33	24.73	2744.13	66.29	34.73	45.28	30.10	47.34	172.56	79.66	255.29	58.54	178.94	45.96	155.13	209.87	42.49	68.42	173.77	84.37	27.38	66.01	80.54	37.10	63.40	334.96	35.24	37.03	260.88	126.22	52.82	58.37	61.76	51.08	52.38	52.54	51.73	53.10	49.66	51.87	50.29	49.30	55.53	81.21	51.75	46.63	45.02	71.83	31.95	72.23	95.61	299.15	2079.26	70.35
CLFT138	47.88	30.39	35.23	108.30	21.22	29.28	31.51	80.95	32.56	27.62	25.75	64.90	34.27	43.47	33.42	18.88	44.14	36.93	9.09	1314.53	30.86	22.42	22.61	19.16	32.09	85.20	42.47	115.67	35.79	193.67	35.83	404.48	168.27	11.94	33.59	90.80	46.87	19.51	24.91	37.45	20.20	44.19	528.08	37.67	22.70	527.49	459.22	42.91	44.81	38.92	40.29	40.32	41.56	38.01	38.95	40.77	38.81	41.98	35.92	42.28	94.96	38.38	34.73	37.49	52.55	18.31	15.75	137.40	567.68	1444.11	0.05
CLFT139	67.16	53.55	57.18	187.45	60.59	61.11	53.39	238.67	66.92	50.96	37.11	133.33	28.83	62.13	57.00	46.14	56.03	282.26	30.77	1749.18	54.73	42.77	43.34	44.53	58.59	439.81	82.25	514.44	54.55	513.20	47.20	286.20	179.13	40.32	73.14	411.06	88.56	33.77	63.55	100.09	38.59	67.85	491.86	48.13	48.74	557.82	362.92	62.02	66.58	59.45	59.18	67.32	60.94	59.25	66.51	58.32	59.57	57.29	54.53	65.50	134.43	59.46	52.31	50.08	108.27	30.80	58.97	266.14	398.32	1499.90	89.41
CLFT144	68.27	31.36	57.18	124.60	88.89	73.48	38.50	196.44	38.68	88.70	44.17	127.82	15.88	257.85	83.41	51.44	36.95	153.20	37.29	4221.22	53.23	39.34	55.97	33.59	47.16	141.15	97.62	343.89	68.53	264.84	39.20	222.88	358.59	39.45	86.98	204.03	79.56	68.64	63.39	110.69	39.92	77.42	799.95	64.44	33.76	433.71	205.15	42.12	70.56	60.26	38.58	49.48	48.13	51.46	55.08	38.55	39.92	38.90	41.14	56.92	110.75	43.31	42.93	57.11	87.09	45.37	77.03	178.32	545.94	1848.42	0.00
CLFT148	50.38	31.89	45.30	126.42	58.97	47.10	38.68	161.04	39.72	39.11	26.51	93.52	20.36	60.05	48.72	28.24	35.11	165.57	25.45	2006.23	45.14	25.00	32.77	28.25	36.95	306.18	52.80	329.60	43.11	321.31	33.33	166.94	126.61	28.05	58.45	261.41	59.07	21.84	47.44	79.64	25.24	45.24	406.28	36.40	29.27	332.06	255.32	39.96	50.63	50.64	38.67	42.51	39.43	37.78	44.26	37.97	38.37	36.82	35.33	43.98	92.03	38.37	34.24	33.37	73.88	21.49	53.37	171.48	382.97	1581.32	85.24
CLFT152	40.85	35.15	39.33	91.15	54.18	43.60	51.91	85.29	31.41	48.15	36.61	96.27	45.78	94.26	53.04	24.03	41.24	88.13	35.33	2876.62	37.19	31.84	38.30	33.97	39.32	110.26	49.82	127.31	52.54	129.28	24.90	82.94	220.69	14.85	44.40	123.25	75.03	27.90	32.55	51.88	26.70	70.39	318.77	58.93	25.06	152.70	131.69	43.13	67.44	55.57	41.62	58.06	43.70	39.96	51.73	40.64	37.40	36.59	38.18	44.80	72.14	45.51	30.42	35.06	58.28	36.22	39.96	87.08	1197.63	2048.51	0.00
CLFT156	59.86	34.03	40.48	106.47	32.07	47.77	46.07	101.76	35.75	34.39	28.85	65.57	54.17	89.19	44.50	18.99	48.98	47.71	11.84	2624.75	35.38	31.51	29.06	33.81	55.57	115.70	49.23	114.10	46.92	209.52	36.54	160.03	223.56	16.97	26.16	186.74	62.17	25.69	43.57	43.96	23.53	62.02	415.45	69.93	63.22	180.23	247.84	48.04	55.66	48.48	45.97	64.80	46.34	63.55	46.10	45.40	41.07	44.17	39.86	48.05	90.47	45.21	31.26	44.25	55.64	26.75	24.27	130.82	928.70	2406.49	0.00
CLFT157	73.73	29.32	19.98	80.82	42.34	42.63	33.31	84.29	30.94	28.46	34.00	89.43	26.52	113.81	46.24	19.12	36.62	65.39	24.70	1264.50	40.21	22.13	22.86	23.47	35.01	105.69	42.46	286.47	40.98	132.48	11.87	272.35	174.67	18.63	45.28	83.58	61.85	39.22	16.12	40.51	9.86	81.41	219.09	62.01	4.13	247.88	189.15	36.37	53.33	47.31	35.40	36.02	38.45	34.27	37.05	35.76	30.39	30.91	29.03	38.99	74.01	44.71	28.73	52.68	53.20	28.76	25.99	86.45	1087.52	1678.21	0.00
CLFT160	82.51	31.96	55.12	119.72	46.16	49.43	28.23	164.52	29.20	45.42	51.31	122.72	28.46	112.81	56.33	28.43	38.19	144.23	41.17	2012.55	47.86	23.43	33.81	30.96	35.60	159.33	77.09	320.73	44.44	290.31	37.33	293.51	378.68	28.50	69.97	232.19	69.73	29.05	34.40	96.16	30.02	51.39	374.45	38.64	39.35	580.00	338.35	41.13	53.62	60.69	38.77	40.49	44.15	41.08	55.60	39.32	39.64	38.83	40.24	45.24	101.66	56.44	39.78	66.88	75.92	35.23	30.75	190.39	708.66	1591.27	0.00
CLFT163	25.66	30.99	33.92	58.69	39.66	41.04	31.39	67.42	31.38	31.04	26.59	58.98	26.65	22.42	38.55	20.67	37.46	57.55	41.23	735.25	46.55	35.12	28.74	24.66	37.93	78.39	55.76	70.85	33.05	56.25	34.30	47.29	106.86	12.64	39.09	63.14	48.87	21.28	20.55	42.34	20.57	41.53	253.13	57.86	5.60	99.15	30.89	36.10	54.94	52.43	35.49	35.45	36.16	35.34	36.37	35.27	35.43	35.00	34.45	39.87	55.50	35.99	35.26	25.04	36.11	20.47	28.48	41.64	511.68	745.13	0.00
CLFT165	73.99	28.07	36.23	92.79	53.90	35.78	30.53	141.15	40.35	64.80	25.79	96.84	21.00	203.05	56.17	30.26	30.90	137.24	35.98	2791.85	32.43	38.31	38.87	20.65	37.67	133.85	68.22	327.03	29.22	239.95	47.09	229.61	323.31	28.93	63.74	178.25	45.29	40.89	32.33	64.16	30.39	74.15	295.05	51.22	45.23	387.55	163.86	35.23	53.48	46.64	33.62	34.98	40.88	43.48	37.45	23.74	34.72	24.10	35.82	39.65	80.75	35.75	26.38	53.14	71.72	28.25	47.91	141.82	631.73	1017.94	85.08
CLFT166	56.00	26.41	33.86	126.27	29.27	34.58	37.42	116.88	32.18	31.66	23.58	71.12	41.76	54.30	39.58	18.75	39.26	72.25	36.48	1659.50	45.05	24.62	23.17	27.71	26.92	131.56	51.42	170.05	27.18	328.11	15.95	294.25	300.07	12.47	48.25	236.70	49.66	26.47	22.20	43.40	12.32	52.24	398.02	41.98	22.76	435.23	278.68	41.11	57.40	53.26	37.64	51.21	36.93	36.32	48.77	37.45	35.35	33.96	32.92	39.93	106.89	50.83	21.04	49.06	63.00	24.50	21.63	213.84	707.40	1763.41	0.00
CLFT167	80.47	28.17	44.47	118.50	39.29	36.02	41.75	93.67	61.20	31.04	37.52	78.54	36.40	62.25	43.62	23.72	35.23	86.67	28.88	2304.54	38.98	31.12	26.76	38.13	24.38	98.63	52.95	167.34	34.42	234.37	24.61	471.45	203.97	20.04	38.84	120.80	54.04	26.93	15.82	48.48	19.34	57.54	359.52	43.34	35.83	690.86	389.19	38.96	57.59	53.24	36.34	50.68	39.20	35.74	48.52	36.45	34.31	33.59	34.23	38.96	113.65	60.78	30.98	62.20	59.64	31.84	29.80	126.02	887.74	1741.71	0.00
CM21	93.50	88.28	73.77	211.13	90.29	87.60	99.16	173.21	80.09	40.88	79.77	195.61	73.14	65.96	89.78	52.60	82.95	127.90	45.90	1545.54	35.51	58.21	73.11	73.45	67.83	244.12	113.81	530.29	88.66	373.47	18.24	531.35	493.22	41.01	68.28	505.83	121.30	20.07	44.17	80.97	39.37	74.50	605.72	61.81	53.25	945.91	316.71	90.12	125.68	101.50	88.71	91.04	91.76	94.56	93.67	86.41	90.67	87.04	88.12	98.31	167.21	91.56	56.78	82.15	110.87	52.62	65.33	238.94	709.89	1180.84	0.00
CM22	88.23	78.84	68.93	272.64	82.88	90.83	99.04	192.23	68.12	35.36	75.36	200.46	62.49	55.86	74.99	52.14	69.96	148.19	63.98	1520.32	36.77	50.76	74.26	59.62	72.76	312.45	103.98	858.13	74.07	536.86	39.39	879.14	742.41	48.14	70.20	540.83	109.76	21.22	66.86	79.05	31.60	65.39	636.34	58.04	76.71	1538.57	480.95	79.82	117.04	116.73	77.55	78.52	82.11	106.48	108.50	76.13	82.72	78.95	78.67	87.39	201.56	82.64	76.89	74.96	122.40	59.16	56.19	289.29	679.63	1263.25	0.00
CMT3	58.99	53.91	46.85	217.01	55.80	58.95	63.03	169.45	47.24	26.38	53.11	126.44	42.92	40.29	56.54	33.66	50.34	94.10	36.88	805.21	24.97	35.62	55.59	44.57	41.13	225.17	72.51	635.94	54.68	384.57	27.70	576.29	566.69	30.77	46.61	438.60	79.07	10.69	50.35	52.84	23.42	48.13	451.18	39.14	35.10	1001.89	272.82	55.13	80.66	84.32	54.85	54.26	56.48	58.88	64.73	54.00	56.89	55.91	54.02	60.81	144.70	56.54	55.54	50.29	92.95	35.76	40.67	243.86	512.17	584.02	0.00
CMT5	83.45	79.25	68.69	346.84	68.43	81.38	84.62	328.25	67.53	34.98	71.15	239.06	61.68	62.56	50.53	52.51	71.23	202.33	46.10	944.71	33.78	54.42	80.36	63.25	58.58	357.12	84.86	1181.58	75.57	868.29	42.05	1040.19	1214.80	45.42	66.58	1047.58	107.90	18.66	65.30	68.11	33.96	68.66	736.40	54.18	50.85	2024.90	549.80	79.51	91.72	114.70	75.76	79.01	78.97	82.22	110.87	71.54	82.20	76.44	75.76	90.82	257.50	86.21	80.15	76.37	158.39	59.67	53.15	473.24	721.38	755.91	0.00
CON2A_CH	171.56	65.65	79.22	220.35	108.30	145.51	90.17	303.96	110.24	97.90	71.48	232.15	124.66	109.24	148.47	74.51	123.26	143.92	46.05	272.05	85.95	75.31	79.54	99.60	50.25	430.79	120.88	469.04	76.94	354.56	115.67	199.55	248.74	52.07	121.30	829.55	118.29	55.21	119.84	126.91	74.64	118.67	534.91	78.10	47.82	482.60	277.26	98.86	104.82	104.87	78.68	162.38	104.52	107.64	105.79	68.32	109.15	70.94	93.51	81.99	180.31	103.45	73.84	99.09	158.23	69.34	90.60	225.76	613.34	302.64	244.95
CORN1	95.84	92.35	34.97	406.84	71.66	96.31	114.97	312.27	87.64	90.42	76.79	236.74	94.48	67.36	69.52	73.65	121.27	312.10	53.06	600.58	122.44	69.27	37.63	69.48	64.53	344.52	90.35	882.26	61.98	657.43	66.12	1177.69	867.99	26.40	81.79	457.39	146.54	23.37	43.01	89.53	46.35	66.92	888.85	58.48	67.34	1444.79	943.90	107.37	113.73	107.54	106.70	105.18	106.13	106.54	110.14	102.85	104.60	101.50	95.23	111.88	258.87	106.86	82.74	89.00	150.58	48.91	60.46	406.98	887.66	855.01	0.00
CORN1B	89.96	81.98	30.91	251.61	80.53	87.06	101.04	157.80	71.97	93.25	75.31	147.02	98.73	59.51	69.11	51.12	84.42	176.33	33.99	612.31	74.22	60.91	37.29	53.94	62.66	226.26	104.81	597.62	67.55	342.09	47.64	531.61	755.29	40.08	73.86	420.99	116.57	16.87	53.45	69.49	39.76	62.69	555.76	49.61	48.58	872.17	258.45	88.40	115.13	91.56	86.20	114.69	96.77	89.96	91.09	84.94	84.64	85.89	82.19	94.33	170.88	89.88	90.71	78.28	123.41	48.39	67.08	184.54	680.62	1068.94	0.00
Campana	41.58	30.94	23.07	81.88	34.03	29.26	36.42	63.68	26.37	23.52	35.84	54.63	24.05	24.48	32.75	20.42	29.15	51.23	20.34	366.68	34.85	24.46	24.96	30.40	26.71	90.93	38.98	74.69	28.63	162.08	18.55	306.08	270.05	20.67	28.01	95.40	51.03	15.61	22.40	23.04	15.97	28.30	246.45	23.33	22.09	450.40	212.28	31.96	47.20	49.08	32.08	31.34	33.77	33.01	32.36	31.75	32.03	32.34	32.03	34.72	78.13	32.84	30.10	32.22	42.90	18.16	21.86	127.68	316.02	425.18	0.00
Carter_Meadow	3.47	2.10	1.77	14.70	1.92	3.06	3.21	9.61	1.58	1.39	1.67	6.94	1.88	1.98	1.79	1.15	2.16	6.86	1.81	13.33	1.50	1.29	2.27	1.91	1.83	16.08	2.73	62.93	2.76	33.70	1.47	54.77	51.74	0.88	2.42	38.84	4.24	0.48	1.60	1.74	1.05	1.99	24.51	2.00	0.49	72.45	9.06	2.40	2.74	2.57	2.46	2.37	2.48	2.57	2.75	2.51	2.58	2.60	2.37	2.67	8.91	2.48	2.38	2.49	6.03	1.33	1.69	10.15	23.02	17.32	0.00
DB8-4	52.89	25.57	23.09	148.43	31.07	47.51	39.54	131.80	39.16	35.98	18.81	108.98	30.22	36.68	26.29	30.92	35.10	297.29	16.37	1115.90	24.29	17.62	32.48	25.01	14.14	343.82	46.50	361.75	20.67	350.31	30.98	249.44	568.85	21.77	27.21	363.07	50.03	14.66	26.34	17.14	15.31	31.46	446.67	26.82	7.20	337.00	161.74	38.59	40.96	39.28	36.60	37.66	39.92	27.44	42.08	24.85	38.84	27.09	33.10	37.24	97.59	38.40	26.99	32.82	66.42	23.38	23.40	248.38	305.34	1039.44	29.25
DB8.2	51.50	25.75	22.43	142.31	29.87	51.56	41.02	132.47	42.63	38.87	20.69	109.02	30.14	38.85	27.90	30.90	33.76	287.85	16.29	1476.86	25.27	17.84	34.78	24.97	14.97	320.21	49.64	351.95	21.85	338.35	30.18	245.70	537.71	22.22	29.45	349.68	51.77	15.29	28.63	19.36	15.35	32.15	452.90	29.32	7.03	312.49	161.03	38.56	41.88	39.33	37.54	38.54	40.37	27.90	42.73	25.12	39.09	27.29	33.57	37.53	98.41	39.86	27.72	34.16	67.19	23.35	24.52	250.59	317.00	1423.40	31.42
ETH2_ET	64.98	55.25	40.11	108.85	37.27	55.85	61.93	75.05	49.54	39.88	42.11	77.51	50.78	34.60	47.28	32.04	59.61	66.21	29.52	387.45	51.17	33.34	38.07	34.56	38.22	117.50	53.84	174.18	36.18	113.68	45.12	144.18	187.31	26.78	42.45	122.26	74.56	17.23	34.90	46.68	28.82	46.55	368.41	35.42	32.10	201.17	207.10	59.27	62.08	59.37	57.19	57.33	57.93	60.71	57.27	57.62	57.57	56.93	53.80	62.45	82.01	58.78	55.28	51.05	62.73	28.44	27.04	101.85	456.06	306.47	0.88
ETH4_ET	110.88	132.76	119.94	465.47	126.67	189.24	155.27	369.56	131.42	119.64	141.61	388.23	103.14	106.69	140.45	105.20	130.11	280.96	62.77	851.91	120.63	106.96	114.97	114.80	112.62	648.53	188.94	1260.35	139.79	877.54	90.28	1226.68	1083.06	85.40	174.10	873.28	183.01	41.06	116.54	117.98	94.07	147.34	970.62	102.16	95.10	1824.54	1094.59	133.39	161.28	160.01	134.35	136.01	140.09	147.76	150.31	129.91	140.00	135.94	136.29	155.28	306.06	140.27	135.66	129.11	238.11	90.72	96.80	496.72	1406.87	648.88	0.05
EV001	78.26	53.27	60.61	170.91	72.23	82.04	72.29	148.24	82.60	68.37	70.21	153.05	39.36	57.97	68.96	48.37	52.57	163.52	25.65	609.90	67.54	61.16	61.03	47.02	46.45	197.21	94.78	314.24	60.54	294.53	49.65	470.33	291.25	55.60	72.12	245.38	77.14	43.82	71.88	43.04	51.76	57.72	415.57	61.57	37.54	684.26	631.89	52.89	81.23	81.53	53.55	53.70	58.09	56.87	81.06	52.91	55.52	55.02	55.73	61.54	146.68	61.65	58.75	63.29	93.99	53.57	54.92	242.18	711.26	654.53	0.00
FG184	93.02	80.81	56.79	114.14	65.94	92.78	71.50	157.08	59.73	47.48	72.54	111.19	70.10	64.00	62.42	39.93	63.16	76.67	60.59	1200.73	85.71	45.25	55.70	65.59	50.16	197.56	94.01	143.81	60.05	320.30	41.18	428.92	432.48	46.48	67.45	226.95	95.81	37.34	44.89	64.80	34.30	58.28	532.33	53.60	46.93	627.20	494.50	71.56	86.73	82.29	69.84	86.23	72.06	74.40	77.13	68.66	71.76	67.80	72.26	86.27	146.18	70.43	68.52	70.66	82.97	43.41	40.88	251.78	633.86	878.01	0.00
FG32	174.65	134.84	93.81	253.80	103.30	104.73	101.53	241.15	131.09	93.42	137.83	189.36	114.64	126.97	101.34	63.58	114.93	112.17	65.10	2194.95	103.96	131.41	106.63	112.66	107.95	280.21	150.00	264.55	128.31	471.47	78.76	857.30	638.51	83.81	176.81	319.01	187.02	113.74	45.35	119.07	59.69	107.07	960.11	144.43	91.99	1374.41	685.85	131.77	141.21	143.79	131.95	145.35	137.58	133.84	134.99	131.35	131.55	106.22	131.97	149.65	261.81	139.97	97.14	139.63	154.12	77.81	67.17	353.30	1160.80	1387.68	0.05
HER3_CH	92.64	74.31	61.17	385.88	85.39	116.28	103.74	236.75	75.03	67.05	76.21	242.81	88.96	63.71	101.25	54.32	86.07	220.87	66.00	492.85	70.11	57.93	67.14	98.55	61.12	338.85	123.46	1092.81	78.69	776.14	49.76	1233.22	1321.33	31.52	73.62	959.92	116.28	18.91	68.92	53.49	38.29	72.92	763.06	58.68	42.43	2002.48	647.15	81.91	127.25	89.44	81.87	119.69	83.78	86.63	90.16	80.79	82.64	81.89	80.41	91.06	250.92	84.78	60.22	74.24	165.00	50.14	61.35	311.36	858.01	491.48	0.00
HR1	108.07	74.56	58.95	176.70	75.60	103.19	114.94	168.36	67.72	89.25	54.74	196.32	85.89	68.96	63.81	73.57	72.61	166.25	55.36	775.44	58.69	40.05	106.10	73.33	44.43	251.05	128.19	356.14	59.55	285.39	70.28	111.67	564.82	56.66	74.78	319.20	143.52	51.84	72.78	48.70	40.43	81.56	605.14	57.46	44.18	228.84	114.32	79.63	96.39	119.67	79.36	112.69	75.82	76.62	83.17	70.45	95.75	73.35	76.66	93.86	122.37	85.80	68.36	75.37	105.99	51.75	59.98	182.40	620.33	763.04	23.24
HR5	137.68	89.39	73.06	282.70	109.07	128.77	144.13	237.29	75.48	108.23	66.39	347.27	79.64	77.69	91.68	90.79	89.17	415.64	57.73	745.27	74.68	46.42	133.20	78.16	52.45	353.90	196.48	746.32	71.74	609.93	85.51	227.83	1155.35	72.91	92.69	783.25	168.38	63.75	86.73	55.02	44.16	87.90	837.20	67.65	69.97	566.14	294.95	98.86	158.91	133.87	88.17	104.53	93.72	98.94	120.05	85.40	105.66	91.36	94.29	115.27	196.75	105.60	85.41	92.83	141.06	68.86	82.72	458.28	840.09	891.49	27.93
HYATT	75.81	52.75	42.14	130.75	43.73	55.72	54.46	105.59	48.97	46.34	59.10	82.11	47.97	42.25	57.50	32.42	54.68	37.34	31.06	1218.72	46.37	31.44	45.44	53.48	41.76	109.97	62.29	124.11	57.44	212.53	27.41	664.20	306.78	36.85	27.50	90.98	84.87	28.69	62.99	47.16	29.48	47.72	441.21	40.80	37.71	955.68	584.72	60.06	63.24	68.44	60.29	60.67	62.18	54.67	61.79	59.66	60.50	50.96	59.34	59.18	137.44	61.07	60.55	60.95	74.08	35.16	35.57	178.14	529.28	984.21	0.00
Hung_2014	136.62	125.99	105.72	466.64	106.53	168.22	141.24	347.16	104.13	93.93	124.41	332.79	107.35	94.32	102.87	90.02	114.53	268.65	55.22	797.28	97.14	78.73	114.46	103.26	99.63	483.19	132.08	1343.24	126.17	791.81	27.85	1147.04	1313.85	72.67	103.65	1243.03	176.26	27.14	105.18	103.17	57.26	111.40	1061.28	81.93	85.93	2094.97	647.49	130.29	142.57	141.15	130.48	132.63	131.61	139.91	139.48	121.59	131.79	131.17	126.28	145.13	312.07	134.14	129.02	121.50	214.28	77.91	72.01	546.04	1243.65	1154.45	0.00
Hung_2039	129.88	124.40	102.92	442.01	96.57	154.60	131.15	340.43	97.43	89.90	118.29	343.92	96.47	97.95	98.00	85.72	111.83	285.90	36.62	758.22	96.03	71.50	114.34	97.52	96.47	475.62	130.74	1291.56	121.97	812.52	27.57	1041.87	1290.98	67.75	99.45	1362.54	172.33	26.32	100.29	89.53	58.90	106.10	1052.93	75.12	81.24	1997.90	668.61	124.22	135.43	134.51	124.24	123.11	127.93	134.37	133.54	120.19	126.02	125.00	122.43	139.29	304.17	127.81	124.81	115.81	208.44	73.97	65.60	566.37	1140.38	1021.09	0.17
Hung_2044	109.70	100.21	83.44	375.92	82.41	136.39	112.05	276.72	87.92	73.45	97.98	267.81	83.98	75.25	83.48	71.59	89.57	206.71	47.05	590.01	80.42	70.60	92.39	82.34	79.77	392.55	108.87	1075.27	96.60	630.96	22.53	924.99	1051.70	54.55	80.39	968.60	136.64	23.01	84.65	81.96	45.91	89.16	841.08	65.51	67.98	1663.37	488.62	103.18	113.92	115.21	103.52	102.88	102.36	109.72	111.48	93.06	104.63	103.46	98.23	115.13	249.92	106.15	101.58	96.87	172.54	60.84	56.12	429.08	1012.51	860.31	0.05
IA042_Low_passage	112.76	144.14	112.72	457.32	128.65	206.19	192.61	403.66	138.46	123.44	136.81	374.44	117.10	163.66	132.83	108.56	143.53	294.22	120.84	671.95	142.56	109.52	93.47	144.60	123.15	684.38	175.68	798.92	149.18	1158.89	110.22	1237.63	1277.42	80.99	196.65	878.24	221.96	40.00	88.15	113.48	109.90	142.58	1181.52	113.50	21.94	2026.71	1606.04	150.41	162.82	161.23	149.87	149.81	156.57	166.90	160.33	144.75	150.66	150.56	146.83	168.70	395.11	152.88	150.07	108.83	248.53	94.14	97.75	694.31	1564.36	1022.65	0.20
IA12	70.81	84.73	68.77	268.89	72.18	89.83	134.53	186.84	90.87	79.30	65.44	200.69	98.90	91.16	96.27	56.70	143.62	179.41	124.68	707.86	99.03	61.72	35.78	78.51	61.31	305.04	99.04	494.39	70.90	526.08	93.79	677.40	675.42	29.68	137.62	421.63	163.61	23.55	30.00	135.15	58.75	77.63	819.40	65.64	10.34	1114.35	730.87	111.77	117.30	107.24	109.47	108.88	108.79	112.16	110.82	106.42	104.96	104.47	97.29	112.34	239.50	106.37	96.32	70.96	143.44	51.13	51.20	272.18	1018.05	1289.99	0.03
IA_11	85.23	125.44	69.86	348.51	98.01	150.64	142.71	235.79	112.85	92.24	114.06	248.29	103.94	126.89	102.14	85.20	113.44	177.96	87.83	646.06	103.32	80.24	71.09	120.97	102.41	418.47	132.36	603.39	101.01	676.37	78.63	879.68	764.86	63.73	131.14	439.47	147.52	30.57	67.11	83.37	72.58	117.08	807.80	94.85	17.12	1695.34	1361.06	126.31	134.33	135.03	128.75	132.72	130.97	133.51	133.16	103.05	127.10	127.41	120.17	137.78	288.01	129.93	125.09	91.51	163.94	75.04	76.91	420.78	1093.27	1022.09	0.00
IA_12No1	101.61	143.73	97.25	323.99	113.71	174.29	161.90	265.32	126.91	107.65	124.86	253.70	118.78	145.82	116.44	92.76	130.63	180.49	103.80	858.14	119.06	95.15	80.70	132.57	118.18	418.65	152.65	480.41	136.60	693.62	88.96	849.17	810.92	73.70	169.96	456.10	192.16	33.28	79.91	92.06	94.07	134.67	892.43	100.98	19.13	1333.75	1189.25	144.90	152.71	153.83	144.81	145.67	149.56	151.93	150.03	136.65	144.50	144.82	141.68	158.79	305.93	148.61	141.82	104.93	186.17	85.75	86.05	483.55	1270.03	1259.35	0.00
